address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amountFormatted,pricing/rate/currency,pricing/rateType,primaryHost/badges/0,primaryHost/firstName,primaryHost/hasProfilePic,primaryHost/hostUrl,primaryHost/id,primaryHost/memberSince,primaryHost/pictureUrl,primaryHost/responseRate,primaryHost/responseTime,primaryHost/smartName,roomType,stars,url,price
"Karachi, Sindh, Pakistan",No,24.844,67.038,2020,16.0,$23,USD,nightly,Identity verified,Chaudhry,1.0,https://www.airbnb.com/users/show/369273591,369273591.0,Joined in September 2020,https://a0.muscache.com/im/pictures/user/836fc0d3-477b-45a8-b725-f27debfb589f.jpg?aki_policy=profile_large,0.22,a few days or more,Chaudhry,Private room,4.775,https://www.airbnb.com/rooms/46383328,23.0
"Islamabad, Islamabad Capital Territory, Pakistan",No,33.51961,73.09235,"""2F3"" Hotel Vista Inn DHA 1 F ""5 Star look""",2.0,$25,USD,nightly,1 Review,Muhammad Yaseen,1.0,https://www.airbnb.com/users/show/302531405,302531405.0,Joined in October 2019,https://a0.muscache.com/im/pictures/user/c20bbbaa-d65b-4fc9-a6c4-b0552aabee2a.jpg?aki_policy=profile_large,,,Muhammad Yaseen,Private room,4.775,https://www.airbnb.com/rooms/43456998,25.0
"Islamabad, Islamabad Capital Territory, Pakistan",No,33.70037,73.00893,"""La Casa de Versace"" Versace themed apt in F10.",4.0,$63,USD,nightly,38 Reviews,Arif,1.0,https://www.airbnb.com/users/show/389359479,389359479.0,Joined in February 2021,https://a0.muscache.com/im/pictures/user/d955978d-b394-409e-bc1f-e8b648814ee7.jpg?aki_policy=profile_large,0.92,within an hour,Arif,Entire place,4.63,https://www.airbnb.com/rooms/48253119,63.0
"Islamabad, Islamabad Capital Territory, Pakistan",No,33.51987,73.09032,"""LG1"" Hotel Vista Inn DHA 1 F ""5 Star look""",2.0,$25,USD,nightly,1 Review,Muhammad Yaseen,1.0,https://www.airbnb.com/users/show/302531405,302531405.0,Joined in October 2019,https://a0.muscache.com/im/pictures/user/c20bbbaa-d65b-4fc9-a6c4-b0552aabee2a.jpg?aki_policy=profile_large,,,Muhammad Yaseen,Private room,4.775,https://www.airbnb.com/rooms/43439434,25.0
"Lahore, Punjab, Pakistan",No,31.42933,74.25051,"""Studio Private Room in Peaceful location.""",2.0,$21,USD,nightly,15 Reviews,Muhammad,1.0,https://www.airbnb.com/users/show/281716257,281716257.0,Joined in August 2019,https://a0.muscache.com/im/pictures/user/53c56571-8e8a-4c17-a859-6a691f7ce0a3.jpg?aki_policy=profile_large,,,Muhammad,Private room ,4.775,https://www.airbnb.com/rooms/52463548,21.0
"Islamabad, Islamabad Capital Territory, Pakistan",No,33.56545,73.11745,“A perfect stay in Twin city”  1Bed| self check in,5.0,$34,USD,nightly,273 Reviews,Ahmed,1.0,https://www.airbnb.com/users/show/149923184,149923184.0,Joined in September 2017,https://a0.muscache.com/im/pictures/user/1f7ddc47-fbac-49e6-88f0-8bf53269cada.jpg?aki_policy=profile_large,1.0,within an hour,Ahmed,Entire place,4.78,https://www.airbnb.com/rooms/51395221,34.0
"Lahore, Punjab, Pakistan",Yes,31.37246,74.18798,"“Airûtel Studio Room” Bahria town, Lahore.",2.0,$18,USD,nightly,114 Reviews,Hilal,1.0,https://www.airbnb.com/users/show/196368049,196368049.0,Joined in June 2018,https://a0.muscache.com/im/pictures/user/9adbdc51-1864-46e7-ad67-3ac0ad916ac9.jpg?aki_policy=profile_large,1.0,within an hour,Hilal,Entire place,4.69,https://www.airbnb.com/rooms/51434729,18.0
"Lahore, Punjab, Pakistan",No,31.46313,74.44952,(Family Only) Private Bedroom in a Luxurious House,3.0,$23,USD,nightly,9 Reviews,Sharjeel,1.0,https://www.airbnb.com/users/show/132316195,132316195.0,Joined in May 2017,https://a0.muscache.com/im/pictures/user/efcbd628-0524-458a-ae1b-8868afcf1ff2.jpg?aki_policy=profile_large,0.9,within a day,Sharjeel,Private room ,4.775,https://www.airbnb.com/rooms/51404143,23.0
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,33.63598,72.92823,*NEW & Revamped* 2BHK Fernweh Zen,4.0,$39,USD,nightly,216 Reviews,Kay,1.0,https://www.airbnb.com/users/show/334266851,334266851.0,Joined in February 2020,https://a0.muscache.com/im/pictures/user/d0b9c0d2-158e-4bc6-b878-42311a704a85.jpg?aki_policy=profile_large,,,Kay,Entire place,4.85,https://www.airbnb.com/rooms/29899927,39.0
"Lahore, Punjab, Pakistan",No,31.58666,74.20278,#Privacy #Private #Secure #Security #3315676942,6.0,$54,USD,nightly,Identity verified,Zaheer,1.0,https://www.airbnb.com/users/show/199107887,199107887.0,Joined in July 2018,https://a0.muscache.com/im/pictures/user/f52da018-43bd-4444-935b-bc0414a053ed.jpg?aki_policy=profile_large,1.0,within an hour,Zaheer,Entire place,4.775,https://www.airbnb.com/rooms/26475862,54.0
